_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,srednia 2022,roznica 23-22,empty_AK,empty_AL,empty_AM,empty_AN,empty_AO,empty_AP,empty_AQ,id
661d8faa3fbc5e0ca1411163,58,Mateusz Szczepaniak,Grudziądz,1.0,2,1,3,0,1,0,2,0,0,0,0,0.0,1,,3,0,,0,0,1,0.333333333333333,0,2,4,-2,0,0,0,#XL_EVAL_ERROR#,0.333333333333333,,,,,,,,,,3128
661d8faa3fbc5e0ca1411164,59,Anton Karlsson,Częstochowa,1.0,1,1,2,0,0,1,1,0,0,0,0,0.0,1,,,0,,2,0,1,0.25,0,1,3,-2,0,0,0,#XL_EVAL_ERROR#,0.25,,,,,,,,,,3455
661d8faa3fbc5e0ca1411165,60,Norbert Krakowiak,Grudziądz,0.857,5,1,7,0,2,1,4,1,0,0,0,0.0,1,0.666666666666667,1,0,0.5,1.5,0,2,0.25,0,3,9,-6,0,0,0,0.333333333333333,0.214285714285714,1.515,-0.658,,,,,,,,1099
661d8faa3fbc5e0ca1411166,61,Hubert Jabłoński,Leszno,0.769,16,4,26,0,1,14,11,0,0,0,0,0.0,0.7,0.8125,0.6,1.5,0.875,0.444444444444444,0,9,0.18,-0.111111111111111,9,41,-32,2,3,-1,-0.1125,0.25,0.788,-0.019,,,,,,,,3612
661d8faa3fbc5e0ca1411167,62,Nazar Parnitskyi,Leszno,0.769,9,1,13,2,0,3,8,0,0,0,0,0.153846153846154,1.5,0.142857142857143,0.666666666666667,1.33333333333333,0,1,0,4,0.192307692307692,0,5,21,-16,1,1,0,1.35714285714286,0.192307692307692,,,,,,,,,,3672
661d8faa3fbc5e0ca1411168,63,Kevin Małkiewicz,Wrocław,0.76,15,4,25,1,4,4,16,0,0,1,1,0.04,1.06666666666667,0.3,1.4,1,0.428571428571429,0.5,0,7,0.239130434782609,-0.181818181818182,11,35,-24,2,4,-2,0.766666666666667,0.22,,,,,,,,,,3863
661d8faa3fbc5e0ca1411169,64,Nicolai Heiselberg,Toruń,0.714,4,1,7,0,0,4,3,0,0,0,0,0.0,0.666666666666667,0.75,,0.666666666666667,1,0.5,0,3,0.0714285714285714,0.0769230769230769,1,13,-12,1,0,1,-0.0833333333333334,0.214285714285714,,,,,,,,,,3679
661d8faa3fbc5e0ca141116a,65,Kacper Halkiewicz,Częstochowa,0.625,17,3,32,0,5,7,20,0,1,1,0,0.0,0.692307692307692,0.578947368421053,0.5,0.2,0.727272727272727,0.8,0,11,0.258064516129032,-0.1875,16,46,-30,3,6,-3,0.11336032388664,0.1875,,,,,,,,,,3661
661d8faa3fbc5e0ca141116b,66,Adrian Miedziński,Leszno,0.615,8,0,13,0,2,4,7,0,0,0,0,0.0,0.666666666666667,0.571428571428571,1,1,0.25,0.333333333333333,0,5,0.125,-0.666666666666667,3,21,-18,1,3,-2,0.0952380952380952,0.115384615384615,,,,,,,,,,20
661d8faa3fbc5e0ca141116c,67,Szymon Bańdur,Krosno,0.6,8,1,15,1,2,1,11,0,1,1,0,0.0666666666666667,0,0.692307692307692,0,0,1,1,0,6,0.25,-0.285714285714286,7,21,-14,1,3,-2,-0.692307692307692,0.166666666666667,,,,,,,,,,3654
