_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,KLASYFIKOWANY?,id,wychowanek,status PL 2025
68dad4084ab80160062ea375,1,Bartosz Zmarzlik,Lublin,2.642857142857143,0.8392857142857143,216,6,84,0.725609756097561,0.4444444444444444,20,60,15,6,3,0,1,0,0,0.7142857142857143,119,45,30,10,74,2.619047619047619,2.388888888888889,2.5294117647058822,2.892857142857143,2.72972972972973,2.574468085106383,18,1,95,,SP
68dad4084ab80160062ea376,2,Patryk Dudek,Toruń,2.3626373626373627,0.7795698924731183,194,21,91,0.711864406779661,0.21568627450980393,11,43,22,21,5,0,1,0,0,0.4725274725274725,126,51,25,14,75,2.7037037037037037,2.1739130434782608,2.4375,2.12,2.441860465116279,2.2916666666666665,18,1,692,,SP
68dad4084ab80160062ea377,3,Artem Łaguta,Wrocław,2.235955056179775,0.6815642458100558,181,18,89,0.5932203389830508,0.2222222222222222,16,35,28,20,6,0,0,1,0,0.39325842696629215,105,72,23,7,33,2.1363636363636362,2.0434782608695654,2.4347826086956523,2.3333333333333335,2.3863636363636362,2.088888888888889,18,1,222,,SP
68dad4084ab80160062ea378,5,Michael Jepsen Jensen,Grudziądz,2.204081632653061,0.6836734693877551,209,7,98,0.5572916666666666,0.2823529411764706,24,48,27,11,12,2,0,0,1,0.4897959183673469,107,85,42,18,22,2.3333333333333335,1.9230769230769231,2.2758620689655173,2.3181818181818183,2.4489795918367347,1.9591836734693877,18,1,52,,SO
68dad4084ab80160062ea379,9,Mikkel Michelsen,Toruń,2.1494252873563218,0.6704545454545454,178,9,87,0.6705202312138728,0.0,0,37,31,5,14,0,0,1,0,0.42528735632183906,116,57,21,21,59,2.2941176470588234,2.12,2.125,2.0952380952380953,2.238095238095238,2.066666666666667,18,1,155,,SO
68dad4084ab80160062ea37a,4,Brady Kurtz,Wrocław,2.2093023255813953,0.7034883720930233,181,9,86,0.6586826347305389,0.14035087719298245,8,46,16,11,13,0,1,0,0,0.5348837209302325,110,57,24,16,53,2.5454545454545454,1.6363636363636365,2.3125,2.3461538461538463,2.577777777777778,1.8048780487804879,17,1,3026,,SO
68dad4084ab80160062ea37b,7,Leon Madsen,Zielona Góra,2.1724137931034484,0.6206896551724138,175,14,87,0.5672514619883041,0.12162162162162163,9,33,26,24,4,0,1,0,0,0.3793103448275862,97,74,33,24,23,2.4285714285714284,2.12,1.9473684210526316,2.1818181818181817,2.238095238095238,2.111111111111111,16,1,30,,SO
68dad4084ab80160062ea37c,6,Piotr Pawlicki,Częstochowa,2.1774193548387095,0.6585365853658537,127,8,62,0.5641025641025641,0.23529411764705882,12,23,24,10,5,0,0,1,1,0.3709677419354839,66,51,24,12,15,2.0526315789473686,2,2.4166666666666665,2.3125,2.3548387096774195,2,12,1,777,,SP
68dad4084ab80160062ea37d,10,Jack Holder,Lublin,2.144578313253012,0.6686746987951807,156,22,83,0.65,0.08928571428571429,5,28,27,18,10,0,2,0,0,0.3373493975903614,104,56,14,9,48,1.7894736842105263,2.0869565217391304,2.1666666666666665,2.4782608695652173,2.525,1.7906976744186047,18,1,25,,SO
68dad4084ab80160062ea37e,8,Wiktor Przyjemski,Lublin,2.15,0.7083333333333334,118,11,60,0.7247706422018348,0.03333333333333333,1,26,17,6,11,0,3,1,0,0.43333333333333335,79,30,10,9,49,2.3333333333333335,2,2.357142857142857,1.8461538461538463,2.2333333333333334,2.066666666666667,16,1,3579,Polonia Bydgoszcz,JP
68dad4084ab80160062ea37f,11,Maksym Drabik,Rybnik,2.1363636363636362,0.6214689265536724,178,10,88,0.6149425287356322,0.014925373134328358,1,32,32,18,6,1,0,0,0,0.36363636363636365,107,67,18,17,40,2.3,2.1333333333333333,2.0454545454545454,2,2.1627906976744184,2.111111111111111,16,1,3112,,SP
68dad4084ab80160062ea380,12,Emil Sajfutdinow,Toruń,2.1264367816091956,0.6436781609195402,173,12,87,0.5773809523809523,0.18309859154929578,13,32,29,19,7,0,1,0,1,0.367816091954023,97,71,39,26,26,2.1578947368421053,2.142857142857143,2.3333333333333335,1.8695652173913044,2.3095238095238093,1.9555555555555555,18,1,89,,SP
68dad4084ab80160062ea381,13,Jason Doyle,Częstochowa,2.0987654320987654,0.6234567901234568,160,10,81,0.6298701298701299,0.0,0,29,30,13,9,0,1,1,1,0.35802469135802467,97,57,17,17,40,2.15,2.090909090909091,1.8823529411764706,2.227272727272727,1.8918918918918919,2.272727272727273,15,1,69,,SO
68dad4084ab80160062ea382,14,Przemysław Pawlicki,Zielona Góra,2.073529411764706,0.6176470588235294,138,3,68,0.631578947368421,-0.03571428571428571,-3,29,21,9,9,0,0,0,0,0.4264705882352941,84,49,19,22,35,1.7222222222222223,2.466666666666667,2.1578947368421053,2,2.375,1.8055555555555556,13,1,59,,SP
68dad4084ab80160062ea383,15,Martin Vaculik,Gorzów,2.0416666666666665,0.6145833333333334,182,14,96,0.6063829787234043,0.013513513513513514,1,32,33,20,11,1,0,1,0,0.3333333333333333,114,74,12,11,40,2.5,1.8461538461538463,1.8181818181818181,1.9545454545454546,2.2444444444444445,1.8627450980392157,18,1,54,,SO
68dad4084ab80160062ea384,16,Dominik Kubera,Lublin,1.9764705882352942,0.6337209302325582,151,17,85,0.6687116564417178,0.0,0,27,27,16,15,2,2,0,1,0.3176470588235294,109,54,9,9,55,2.2,2,1.368421052631579,2.238095238095238,2.1219512195121952,1.8409090909090908,18,1,415,,SP
68dad4084ab80160062ea385,17,Daniel Bewley,Wrocław,1.964705882352941,0.6176470588235294,148,19,85,0.5029585798816568,0.2261904761904762,19,21,35,15,14,0,0,0,0,0.24705882352941178,85,84,32,13,1,2.391304347826087,1.7142857142857142,1.9,1.8095238095238095,2.0238095238095237,1.9069767441860466,18,1,99,,SO
68dad4084ab80160062ea386,18,Anders Thomsen,Gorzów,1.9484536082474226,0.5948717948717949,184,5,97,0.5549738219895288,0.058823529411764705,5,40,24,16,17,0,0,0,0,0.41237113402061853,106,85,20,15,21,2.130434782608696,1.8461538461538463,1.8636363636363635,1.9615384615384615,2.0652173913043477,1.8431372549019607,18,1,5,,SO
68dad4084ab80160062ea387,19,Max Fricke,Grudziądz,1.9425287356321839,0.5632183908045977,149,20,87,0.5119047619047619,0.06097560975609756,5,24,26,25,12,1,0,0,0,0.27586206896551724,86,82,22,17,4,2.0434782608695654,1.72,2.1176470588235294,1.9545454545454546,2.0681818181818183,1.813953488372093,18,1,46,,SO
68dad4084ab80160062ea388,20,Robert Lambert,Toruń,1.8764044943820224,0.6111111111111112,156,11,89,0.5568181818181818,0.10256410256410256,8,32,19,22,16,0,0,0,0,0.3595505617977528,98,78,32,24,20,2.1739130434782608,1.7083333333333333,1.7083333333333333,1.9444444444444444,2.1555555555555554,1.5909090909090908,18,1,505,,SO
68dad4084ab80160062ea389,21,Kacper Woryna,Częstochowa,1.8295454545454546,0.5084745762711864,150,11,88,0.5680473372781065,-0.11458333333333333,-11,19,34,25,10,0,1,0,0,0.2159090909090909,96,73,22,33,23,1.6363636363636365,1.7826086956521738,1.9130434782608696,2,1.8095238095238095,1.8478260869565217,16,1,223,,SP
68dad4084ab80160062ea38a,22,Mateusz Cierniak,Lublin,1.7922077922077921,0.5844155844155844,120,18,77,0.6308724832214765,-0.0851063829787234,-8,21,20,17,19,0,1,0,1,0.2727272727272727,94,55,9,17,39,1.9,1.4666666666666666,1.75,2,1.794871794871795,1.7894736842105263,18,1,3477,UKS Jaskółki Tarnów,SP
68dad4084ab80160062ea38b,23,Maciej Janowski,Wrocław,1.7701149425287357,0.5314285714285715,136,18,87,0.49700598802395207,0.10714285714285714,9,20,21,34,12,0,1,1,1,0.22988505747126436,83,84,26,17,-1,1.9,1.4761904761904763,1.8888888888888888,1.7894736842105263,1.7380952380952381,1.8,18,1,71,,SP
68dad4084ab80160062ea38c,24,Damian Ratajczak,Zielona Góra,1.75,0.5347222222222222,111,15,72,0.4744525547445255,0.08333333333333333,6,17,23,14,18,1,0,0,0,0.2361111111111111,65,72,25,19,-7,2.0526315789473686,1.7272727272727273,1.5625,1.6,1.78125,1.725,15,1,3563,Unia Leszno,JP
68dad4084ab80160062ea38d,25,Rohan Tungate,Rybnik,1.7446808510638299,0.48404255319148937,146,18,94,0.5028571428571429,0.0,0,20,26,34,14,1,1,0,3,0.2127659574468085,88,87,14,14,1,2,1.391304347826087,1.5909090909090908,1.962962962962963,1.7916666666666667,1.6956521739130435,18,1,3180,,SO
68dad4084ab80160062ea38e,26,Jakub Krawczyk,Wrocław,1.744186046511628,0.5581395348837209,60,15,43,0.6582278481012658,-0.11538461538461539,-6,8,15,6,14,1,1,1,1,0.18604651162790697,52,27,3,9,25,2.5833333333333335,1.6428571428571428,1.5,0.8571428571428571,1.9166666666666667,1.5263157894736843,14,1,3526,Arged Malesa Ostrów,JP
68dad4084ab80160062ea38f,27,Wadim Tarasienko,Grudziądz,1.7325581395348837,0.5,135,14,86,0.49122807017543857,0.022988505747126436,2,19,24,30,13,0,0,1,0,0.22093023255813954,84,87,19,17,-3,1.2222222222222223,1.7727272727272727,1.72,2.142857142857143,1.9047619047619047,1.5681818181818181,18,1,3,,SP
68dad4084ab80160062ea390,28,Fredrik Lindgren,Lublin,1.7073170731707317,0.5426829268292683,123,17,82,0.5454545454545454,0.04285714285714286,3,18,23,23,18,2,2,0,0,0.21951219512195122,84,70,20,17,14,1.4761904761904763,1.7727272727272727,1.9583333333333333,1.5333333333333334,1.8837209302325582,1.5128205128205128,18,1,66,,SO
68dad4084ab80160062ea391,29,Andrzej Lebiediew,Gorzów,1.65625,0.4895833333333333,148,11,96,0.41081081081081083,0.12844036697247707,14,23,28,23,22,2,2,0,0,0.23958333333333334,76,109,28,14,-33,2.1904761904761907,1.25,1.6538461538461537,1.6,1.8695652173913044,1.46,18,1,1029,,SO
68dad4084ab80160062ea392,30,Jaimon Lidsey,Grudziądz,1.618421052631579,0.4934210526315789,111,12,76,0.4866666666666667,-0.0136986301369863,-1,17,20,20,19,0,0,0,0,0.2236842105263158,73,77,14,15,-4,1.3888888888888888,1.5555555555555556,1.5294117647058822,1.9130434782608696,1.5714285714285714,1.6585365853658536,18,1,27,,SO
68dad4084ab80160062ea393,31,Nicki Pedersen,Rybnik,1.5833333333333333,0.4444444444444444,105,9,72,0.5606060606060606,-0.16216216216216217,-12,13,23,20,16,2,5,1,0,0.18055555555555555,74,58,6,18,16,1.625,1.75,1.565217391304348,1.1111111111111112,1.6285714285714286,1.5405405405405406,15,1,110,,SO
68dad4084ab80160062ea394,32,Mads Hansen,Częstochowa,1.565217391304348,0.4731182795698925,56,16,46,0.45555555555555555,-0.024390243902439025,-1,4,11,22,9,0,0,0,0,0.08695652173913043,41,49,13,14,-8,2.2,2.1666666666666665,1.2,0.6666666666666666,1.76,1.3333333333333333,11,1,266,,SO
68dad4084ab80160062ea395,33,Kevin Małkiewicz,Grudziądz,1.5396825396825398,0.48412698412698413,81,16,63,0.4224137931034483,0.14925373134328357,10,9,18,18,18,2,4,0,0,0.14285714285714285,49,67,23,13,-18,1.7142857142857142,1.4736842105263157,1.6666666666666667,1.2857142857142858,1.6857142857142857,1.3571428571428572,17,1,3863,GKM Grudziądz,JP
68dad4084ab80160062ea396,34,Jakub Miśkowiak,Grudziądz,1.48,0.4533333333333333,99,12,75,0.4413793103448276,-0.03125,-2,16,14,23,22,0,0,0,0,0.21333333333333335,64,81,7,9,-17,1.9523809523809523,1.2941176470588236,1.0555555555555556,1.5263157894736843,1.6666666666666667,1.2777777777777777,18,1,515,Wschowski Klub Motorowy,SP
68dad4084ab80160062ea397,35,Jarosław Hampel,Zielona Góra,1.4743589743589745,0.4166666666666667,102,13,78,0.5,-0.16883116883116883,-13,14,17,26,21,0,1,0,0,0.1794871794871795,77,77,5,18,0,1.875,1.1176470588235294,1.263157894736842,1.5,1.6666666666666667,1.25,16,1,33,,SP
