_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD
5ab814ae0b3a2dd84a0c2cee,11,Martin Vaculik,Gorzów,2.036,149,20,83,29,22,18,14,1,2,0,0,0.34939759,2.25,1.795,2.211,2.318,1.591,2.05
5ab814ae0b3a2dd84a0c2cef,12,Emil Sayfutdinov,Leszno,2.022,167,17,91,31,27,20,13,2,2,0,1,0.340659341,1.933,2.109,2.136,1.727,2.048,2.154
5ab814ae0b3a2dd84a0c2cf0,13,Rune Holta,Częstochowa,2.013,146,5,75,31,17,19,8,2,1,0,0,0.413333333,2.278,1.769,2.188,1.471,2.1,2.227
5ab814ae0b3a2dd84a0c2cf1,14,Janusz Kołodziej,Leszno,2.012,160,9,84,33,22,17,12,1,0,0,0,0.392857143,2.25,1.75,2.214,2.043,2.125,1.739
5ab814ae0b3a2dd84a0c2cf2,15,Piotr Protasiewicz,Zielona Góra,2.0,164,16,90,28,29,22,11,0,1,1,0,0.311111111,2.089,1.911,2.16,1.95,1.913,1.955
5ab814ae0b3a2dd84a0c2cf3,16,Kacper Woryna,Rybnik,1.987,135,14,75,27,17,20,11,0,1,1,0,0.36,2,1.975,2.276,1.684,1.643,2.154
5ab814ae0b3a2dd84a0c2cf4,17,Antonio Lindbaeck,Grudziądz,1.984,113,14,64,18,21,17,8,0,2,1,1,0.28125,2.212,1.742,1.944,1.778,2,2.267
5ab814ae0b3a2dd84a0c2cf5,18,Maksym Drabik,Wrocław,1.971,128,8,69,28,15,14,12,2,0,0,0,0.405797101,2.025,1.897,2.318,2.043,1.214,2.1
5ab814ae0b3a2dd84a0c2cf6,19,Maciej Janowski,Wrocław,1.966,163,10,88,32,26,15,15,4,2,0,1,0.363636364,2,1.932,2.4,2.045,1.636,1.684
5ab814ae0b3a2dd84a0c2cf7,20,Krzysztof Buczkowski,Grudziądz,1.929,129,6,70,20,28,13,9,0,2,1,0,0.285714286,2.086,1.771,2.059,2,1.579,2.105
5ab814ae0b3a2dd84a0c2cf8,21,Piotr Pawlicki,Leszno,1.92,148,19,87,23,32,15,17,1,5,0,1,0.264367816,2.122,1.739,1.846,1.96,2,1.882
5ab814ae0b3a2dd84a0c2cf9,22,Fredrik Lindgren,Rybnik,1.887,128,6,71,22,23,16,10,2,1,0,1,0.309859155,1.657,2.111,2.071,1.833,1.765,1.938
5ab814ae0b3a2dd84a0c2cfa,24,Bartosz Smektała,Leszno,1.803,112,7,66,22,18,10,16,0,0,0,0,0.333333333,2,1.606,2.077,1.615,1.9,1.65
5ab814ae0b3a2dd84a0c2cfb,23,Krzysztof Kasprzak,Gorzów,1.853,115,11,68,19,20,18,11,1,2,0,0,0.279411765,1.966,1.769,2.2,1.667,1.643,1.789
5ab814ae0b3a2dd84a0c2cfc,25,Chris Holder,Toruń,1.773,104,13,66,15,22,15,14,0,0,0,0,0.227272727,1.882,1.656,1.722,1.5,1.706,2.118
5ab814ae0b3a2dd84a0c2cfd,26,Michael Jepsen Jensen,Toruń,1.754,105,9,65,16,18,21,10,1,0,0,1,0.246153846,1.788,1.719,2.056,1.643,1.643,1.632
5ab814ae0b3a2dd84a0c2cfe,27,Max Fricke,Rybnik,1.746,97,6,59,18,16,11,14,1,1,0,0,0.305084746,2.161,1.286,2.214,1.875,1.571,1.333
