_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS
660dbf87352dc45da21939cf,13,Tomasz Gapiński,Ostrów,2.035,159,14,85,29,26,20,10,0,1,0,0,0.341176471,2.119047619,1.953488372,2.476190476,1.681818182,2.19047619,1.80952381,0.607142857,0.075757576,102,66,36,21,16,5
660dbf87352dc45da21939d0,24,Daniel Jeleniewski,Bydgoszcz,1.85,67,7,40,11,15,4,10,0,0,0,0,0.275,2.357142857,1.576923077,2.428571429,1.625,1.8,1.384615385,0.615384615,-0.083333333,48,30,18,4,8,-4
660dbf87352dc45da21939d1,25,Rohan Tungate,Tarnów,1.848,120,2,66,24,16,16,10,3,3,0,0,0.363636364,2.068965517,1.675675676,1.846153846,2,1.5625,1.9375,0.508196721,0.066666667,62,60,2,11,7,4
660dbf87352dc45da21939d2,26,Mateusz Szczepaniak,Krosno,1.833,129,14,78,26,15,21,16,1,1,1,0,0.333333333,2.051282051,1.615384615,2.111111111,1.8,2,1.3125,0.590604027,0.016393443,88,61,27,13,12,1
660dbf87352dc45da21939d3,27,Kacper Gomólski,Rybnik,1.811,115,19,74,14,26,21,13,1,1,0,0,0.189189189,1.685714286,1.923076923,2.136363636,1.842105263,1.5,1.666666667,0.626760563,-0.101123596,89,53,36,7,16,-9
660dbf87352dc45da21939d4,23,Luke Becker,Łódź,1.857,110,7,63,23,11,19,10,0,1,0,0,0.365079365,2,1.709677419,1.928571429,1.375,1.944444444,2.2,0.520661157,0.086206897,63,58,5,13,8,5
660dbf87352dc45da21939d5,28,Rasmus Jensen,Gdańsk,1.808,129,12,78,23,19,22,14,1,0,0,0,0.294871795,1.864864865,1.756097561,2.125,1.75,2.055555556,1.25,0.496688742,0.078947368,75,76,-1,17,11,6
660dbf87352dc45da21939d6,29,Patryk Wojdyło,Krosno,1.785,102,14,65,14,21,18,12,0,0,0,1,0.215384615,1.911764706,1.64516129,1.714285714,1.75,1.923076923,1.772727273,0.528455285,0.017241379,65,58,7,9,8,1
660dbf87352dc45da21939d7,30,Norbert Kościuch,Łódź,1.77,92,16,61,9,22,21,9,0,1,2,0,0.147540984,1.75,1.793103448,2.071428571,1.846153846,1.615384615,1.619047619,0.573913043,-0.060606061,66,49,17,7,11,-4
660dbf87352dc45da21939d8,31,Niels Kristian Iversen,Tarnów,1.765,56,4,34,9,9,11,5,0,1,0,0,0.264705882,2.055555556,1.4375,2,1.888888889,1.571428571,1.428571429,0.569230769,-0.162162162,37,28,9,4,10,-6
