_id,MSC,ZAWODNIK,KLUB,SREDNIA,%POJ,PKT,BON,BIEGI,SST,SDY,DYSTBILANS,P3,P2,P1,P0,D,W,U,T,PROCZW,STARTPLUS,STARTMINUS,DYSTPLUS,DYSTMINUS,STARTBILANS,TORA,TORB,TORC,TORD,DOM,WYJAZD,mecze,id,SGP 1997 status,numer SGP 1997,wychowanek,czy mistrz świata?,status PL 2025
68d2f39d7408ce1d1f93a305,64,Anze Grmek,Rzeszów,1.0,0.3,4,1,5,0.5,-0.25,-1,0,2,0,3,0,1,0,0,0.0,4,4,1,2,0,0,,2.5,0,0.6666666666666666,1.5,3,3678,,,,,JO
68d2f39d7408ce1d1f93a306,63,Mateusz Bartkowiak,Łódź,1.0,0.2727272727272727,18,4,22,0.3181818181818182,-0.14285714285714285,-2,1,4,7,10,1,0,0,0,0.045454545454545456,14,30,0,2,-16,0.6666666666666666,1,1.6,0.75,0.375,1.3571428571428572,10,1008,,,Stal Gorzów,,SP
68d2f39d7408ce1d1f93a307,62,Patrick Hansen,Łódź,1.25,0.375,9,1,8,0.4375,-0.14285714285714285,-1,2,1,1,4,0,0,0,0,0.25,7,9,1,2,-2,2.6666666666666665,2,0,0,1.5,1.1666666666666667,3,3279,,,,,SO
68d2f39d7408ce1d1f93a308,68,Sebastian Madej,Tarnów,0.25,0.125,1,0,4,0.0,0.0,0,0,0,1,3,1,0,0,0,0.0,0,5,0,0,-5,0.5,,,0,0.25,,2,,,,Unia Tarnów,,JP
68d2f39d7408ce1d1f93a309,65,Jakub Wieszczak,Krosno,0.9333333333333333,0.23333333333333334,14,0,15,0.36666666666666664,-0.36363636363636365,-4,2,3,2,8,0,0,0,0,0.13333333333333333,11,19,0,4,-8,2,0.6,1,0.75,2,0.7692307692307693,5,,,,Wilki Krosno,,JP
68d2f39d7408ce1d1f93a30a,70,Miłosz Grygolec,Krosno,0.0,0.0,0,0,3,0.16666666666666666,-1.0,-1,0,0,0,3,0,0,0,0,0.0,1,5,0,1,-4,0,,0,0,0,,1,3869,,,Wilki Krosno,,JP
68d2f39d7408ce1d1f93a30b,71,Emil Konieczny,Leszno,0.0,0.0,0,0,2,0.0,0.0,0,0,0,0,2,0,1,0,0,0.0,0,2,0,0,-2,,0,,,0,,1,,,,Unia Leszno,,JP
68d2f39d7408ce1d1f93a30c,66,Emil Maroszek,Bydgoszcz,0.42857142857142855,0.14285714285714285,5,1,14,0.12,0.0,0,1,0,2,11,0,1,0,0,0.07142857142857142,3,22,3,3,-19,0.5714285714285714,0.6666666666666666,0,0,0.8333333333333334,0.125,9,,,,Polonia Bydgoszcz,,JP
68d2f39d7408ce1d1f93a30d,72,Adrian Gorzkowski,Tarnów,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,2,0,0,-2,0,,,,,0,1,,,,Unia Tarnów,,JP
68d2f39d7408ce1d1f93a30e,67,Adrian Przybyło,Rzeszów,0.3,0.1,2,1,10,0.25,-0.5,-2,0,0,2,8,0,2,0,0,0.0,4,12,0,2,-8,0.3333333333333333,0.5,0,,0.6,0,5,,,,Stal Rzeszów,,JP
68d2f39d7408ce1d1f93a30f,73,Gracjan Szostak,Ostrów,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,2,0,0,-2,,,0,,,0,1,,,,Arged Malesa Ostrów,,JP
68d2f39d7408ce1d1f93a310,69,Igor Gryzło,Tarnów,0.14285714285714285,0.0,1,0,7,0.0,0.0,0,0,0,1,6,0,0,0,1,0.0,0,12,0,0,-12,0,0,0.5,,0.2,0,4,,,,Unia Tarnów,,JP
